,Daily Stay Home Notices issued (Hotel),Daily Stay Home Notices issued (Home)
2020-02-19,0,247
2020-02-20,0,219
2020-02-21,0,263
2020-02-22,0,249
2020-02-23,0,316
2020-02-24,0,340
2020-02-25,0,222
2020-02-26,0,606
2020-02-27,0,339
2020-02-28,0,416
2020-02-29,0,388
2020-03-01,0,428
2020-03-02,0,447
2020-03-03,0,434
2020-03-04,0,533
2020-03-05,0,404
2020-03-06,0,497
2020-03-07,0,366
2020-03-08,0,330
2020-03-09,0,410
2020-03-10,0,405
2020-03-11,0,335
2020-03-12,0,327
2020-03-13,0,310
2020-03-14,0,236
2020-03-15,0,248
2020-03-16,0,531
2020-03-17,0,4971
2020-03-18,0,5834
2020-03-19,0,4483
2020-03-20,0,4702
2020-03-21,0,6775
2020-03-22,0,4798
2020-03-23,0,3724
2020-03-24,0,2768
2020-03-25,0,2785
2020-03-26,145,1905
2020-03-27,593,1189
2020-03-28,489,1087
2020-03-29,398,1121
2020-03-30,152,458
2020-03-31,400,426
2020-04-01,349,683
2020-04-02,234,267
2020-04-03,36,404
2020-04-04,48,487
2020-04-05,32,437
2020-04-06,152,316
2020-04-07,169,171
2020-04-08,150,344
2020-04-09,216,173
2020-04-10,672,0
2020-04-11,401,22
2020-04-12,277,0
2020-04-13,227,3
2020-04-14,258,17
2020-04-15,192,0
2020-04-16,146,0
2020-04-17,189,0
2020-04-18,92,27
2020-04-19,125,0
2020-04-20,179,0
2020-04-21,110,0
2020-04-22,117,6
2020-04-23,91,15
2020-04-24,216,0
2020-04-25,82,19
2020-04-26,140,4
2020-04-27,146,4
2020-04-28,134,4
2020-04-29,97,2
2020-04-30,132,20
2020-05-01,132,4
2020-05-02,101,0
2020-05-03,116,1
2020-05-04,113,2
2020-05-05,99,21
2020-05-06,105,15
2020-05-07,133,4
2020-05-08,93,7
2020-05-09,169,10
2020-05-10,183,1
2020-05-11,125,4
2020-05-12,186,18
2020-05-13,194,15
2020-05-14,157,18
2020-05-15,165,8
2020-05-16,172,10
2020-05-17,190,6
2020-05-18,219,11
2020-05-19,179,6
2020-05-20,165,14
2020-05-21,337,37
2020-05-22,190,10
2020-05-23,222,15
2020-05-24,169,6
2020-05-25,193,27
2020-05-26,231,14
2020-05-27,146,0
2020-05-28,195,19
2020-05-29,137,23
2020-05-30,153,2
2020-05-31,191,9
2020-06-01,298,32
2020-06-02,284,0
2020-06-03,238,21
2020-06-04,150,21
2020-06-05,195,13
2020-06-06,179,4
2020-06-07,308,24
2020-06-08,297,0
2020-06-09,233,55
2020-06-10,473,26
2020-06-11,396,17
2020-06-12,487,28
2020-06-13,431,14
2020-06-14,688,53
2020-06-15,833,0
2020-06-16,601,50
2020-06-17,834,19
2020-06-18,281,84
2020-06-19,524,12
2020-06-20,662,138
2020-06-21,578,110
2020-06-22,440,135
2020-06-23,479,144
2020-06-24,534,142
2020-06-25,317,146
2020-06-26,638,98
2020-06-27,244,230
2020-06-28,377,180
2020-06-29,383,232
2020-06-30,519,194
2020-07-01,559,177
2020-07-02,370,246
2020-07-03,575,123
2020-07-04,437,158
2020-07-05,490,229
2020-07-06,648,266
2020-07-07,713,135
2020-07-08,612,205
2020-07-09,653,309
2020-07-10,633,117
2020-07-11,582,314
2020-07-12,923,175
2020-07-13,665,423
2020-07-14,687,244
2020-07-15,949,219
2020-07-16,621,232
2020-07-17,1040,197
2020-07-18,568,319
2020-07-19,868,351
2020-07-20,729,172
2020-07-21,649,180
2020-07-22,902,139
2020-07-23,573,108
2020-07-24,715,165
2020-07-25,896,127
2020-07-26,871,307
2020-07-27,881,238
2020-07-28,608,341
2020-07-29,910,211
2020-07-30,709,124
2020-07-31,830,261
2020-08-01,608,135
2020-08-02,944,513
2020-08-03,498,252
2020-08-04,665,303
2020-08-05,652,332
2020-08-06,602,140
2020-08-07,680,308
2020-08-08,628,75
2020-08-09,725,420
2020-08-10,674,188
2020-08-11,960,261
2020-08-12,509,302
2020-08-13,487,125
2020-08-14,710,236
2020-08-15,540,66
2020-08-16,1041,253
2020-08-17,539,1344
2020-08-18,510,1011
2020-08-19,411,789
2020-08-20,407,581
2020-08-21,482,786
2020-08-22,514,287
2020-08-23,576,358
2020-08-24,476,1085
2020-08-25,611,793
2020-08-26,483,648
2020-08-27,355,551
2020-08-28,609,638
2020-08-29,455,295
2020-08-30,865,315
2020-08-31,418,575
2020-09-01,434,1665
2020-09-02,286,960
2020-09-03,396,590
2020-09-04,418,931
2020-09-05,285,557
2020-09-06,374,655
2020-09-07,220,930
2020-09-08,301,708
2020-09-09,304,728
2020-09-10,247,463
2020-09-11,410,826
2020-09-12,371,390
2020-09-13,381,587
2020-09-14,260,855
2020-09-15,343,861
2020-09-16,344,735
2020-09-17,301,409
2020-09-18,422,627
2020-09-19,466,449
2020-09-20,378,719
2020-09-21,185,872
2020-09-22,357,619
2020-09-23,329,761
2020-09-24,247,546
2020-09-25,617,747
2020-09-26,356,358
2020-09-27,349,610
2020-09-28,292,799
2020-09-29,448,594
2020-09-30,266,598
2020-10-01,442,885
2020-10-02,526,585
2020-10-03,375,404
2020-10-04,502,704
2020-10-05,303,810
2020-10-06,427,522
2020-10-07,309,773
2020-10-08,338,395
2020-10-09,455,710
2020-10-10,423,426
2020-10-11,450,726
2020-10-12,308,802
2020-10-13,350,639
2020-10-14,272,766
2020-10-15,319,592
2020-10-16,534,731
2020-10-17,432,516
2020-10-18,483,757
2020-10-19,325,899
2020-10-20,353,672
2020-10-21,345,732
2020-10-22,373,422
2020-10-23,391,772
2020-10-24,470,533
2020-10-25,454,844
2020-10-26,193,972
2020-10-27,329,548
2020-10-28,393,734
2020-10-29,376,456
2020-10-30,636,754
2020-10-31,376,458
2020-11-01,545,982
2020-11-02,280,885
2020-11-03,415,486
2020-11-04,416,566
2020-11-05,581,349
2020-11-06,677,480
2020-11-07,341,394
2020-11-08,515,643
2020-11-09,297,570
2020-11-10,336,368
2020-11-11,542,330
2020-11-12,513,350
2020-11-13,629,396
2020-11-14,444,349
2020-11-15,564,561
2020-11-16,280,582
2020-11-17,396,339
2020-11-18,491,483
2020-11-19,503,329
2020-11-20,558,544
2020-11-21,401,437
2020-11-22,579,1547
2020-11-23,840,49
2020-11-24,602,58
2020-11-25,926,92
2020-11-26,685,35
2020-11-27,960,60
2020-11-28,702,66
2020-11-29,1001,85
2020-11-30,849,84
2020-12-01,931,31
2020-12-02,896,96
2020-12-03,833,47
2020-12-04,1138,90
2020-12-05,1077,113
2020-12-06,1434,51
2020-12-07,939,51
2020-12-08,879,72
2020-12-09,927,101
2020-12-10,1439,86
2020-12-11,1110,52
2020-12-12,974,154
2020-12-13,1204,216
2020-12-14,789,4
2020-12-15,953,8
2020-12-16,1348,37
2020-12-17,1167,6
2020-12-18,1329,0
2020-12-19,1245,0
2020-12-20,1493,4
2020-12-21,956,0
2020-12-22,715,1
2020-12-23,1310,0
2020-12-24,1202,0
2020-12-25,988,9
2020-12-26,1150,14
2020-12-27,1443,18
2020-12-28,1104,24
2020-12-29,1067,8
2020-12-30,1758,8
2020-12-31,1520,17
2021-01-01,899,4
2021-01-02,1173,16
2021-01-03,1498,27
2021-01-04,922,5
2021-01-05,971,19
2021-01-06,1234,11
2021-01-07,1079,15
2021-01-08,1345,7
2021-01-09,1321,25
2021-01-10,1480,21
2021-01-11,904,24
2021-01-12,958,17
2021-01-13,924,10
2021-01-14,970,18
2021-01-15,1317,20
2021-01-16,1313,29
2021-01-17,1339,16
2021-01-18,923,9
2021-01-19,700,3
2021-01-20,1039,8
2021-01-21,937,12
2021-01-22,1378,12
2021-01-23,1232,16
2021-01-24,1241,22
2021-01-25,816,11
2021-01-26,836,7
2021-01-27,1052,8
2021-01-28,845,3
2021-01-29,1027,17
2021-01-30,961,15
2021-01-31,1083,26
2021-02-01,805,18
2021-02-02,641,12
2021-02-03,786,10
2021-02-04,708,12
2021-02-05,1084,7
2021-02-06,794,8
2021-02-07,737,12
2021-02-08,662,4
2021-02-09,515,9
2021-02-10,757,1
2021-02-11,593,0
2021-02-12,806,0
2021-02-13,734,1
2021-02-14,1030,3
2021-02-15,907,0
2021-02-16,616,0
2021-02-17,1029,14
2021-02-18,891,25
2021-02-19,1257,22
2021-02-20,1107,33
2021-02-21,1135,35
2021-02-22,882,28
2021-02-23,783,22
2021-02-24,926,23
2021-02-25,938,10
2021-02-26,1267,26
2021-02-27,1117,55
2021-02-28,1527,50
2021-03-01,1112,41
2021-03-02,911,18
2021-03-03,1072,22
2021-03-04,1116,31
2021-03-05,1182,13
2021-03-06,895,24
2021-03-07,1157,23
2021-03-08,879,15
2021-03-09,621,17
2021-03-10,1010,12
2021-03-11,1089,19
2021-03-12,1121,32
2021-03-13,837,25
2021-03-14,1211,35
2021-03-15,1041,24
2021-03-16,768,9
2021-03-17,967,5
2021-03-18,1063,23
2021-03-19,1221,10
2021-03-20,1086,37
2021-03-21,1254,26
2021-03-22,984,2
2021-03-23,690,10
2021-03-24,915,15
2021-03-25,1156,23
2021-03-26,1150,17
2021-03-27,1164,13
2021-03-28,1314,37
2021-03-29,1067,20
2021-03-30,977,16
2021-03-31,1116,24
2021-04-01,1277,21
2021-04-02,851,10
2021-04-03,917,41
2021-04-04,1283,23
2021-04-05,1080,12
2021-04-06,1074,22
2021-04-07,924,15
2021-04-08,1099,16
2021-04-09,777,9
2021-04-10,923,21
2021-04-11,1273,21
2021-04-12,1113,16
2021-04-13,853,14
2021-04-14,882,26
2021-04-15,947,11
2021-04-16,804,15
2021-04-17,763,45
2021-04-18,1345,28
2021-04-19,1297,28
2021-04-20,1060,9
2021-04-21,921,28
2021-04-22,870,6
2021-04-23,672,29
2021-04-24,726,53
2021-04-25,985,28
2021-04-26,1043,68
2021-04-27,719,39
2021-04-28,768,53
2021-04-29,674,34
2021-04-30,953,39
2021-05-01,774,59
2021-05-02,1087,78
2021-05-03,982,18
2021-05-04,702,59
2021-05-05,821,108
2021-05-06,568,47
2021-05-07,726,31
2021-05-08,536,26
2021-05-09,856,21
2021-05-10,949,35
2021-05-11,391,23
2021-05-12,385,15
2021-05-13,248,22
2021-05-14,414,17
2021-05-15,456,22
2021-05-16,497,26
2021-05-17,468,17
2021-05-18,299,38
2021-05-19,393,14
2021-05-20,478,16
2021-05-21,400,8
2021-05-22,391,16
2021-05-23,460,16
2021-05-24,425,11
2021-05-25,240,39
2021-05-26,351,2
2021-05-27,313,33
2021-05-28,329,32
2021-05-29,493,13
2021-05-30,459,50
2021-05-31,399,48
2021-06-01,236,12
2021-06-02,279,31
2021-06-03,237,29
2021-06-04,238,23
2021-06-05,263,20
2021-06-06,343,112
2021-06-07,260,61
2021-06-08,263,56
2021-06-09,268,22
2021-06-10,288,55
2021-06-11,322,11
2021-06-12,219,28
2021-06-13,398,103
2021-06-14,319,42
2021-06-15,328,78
2021-06-16,297,20
2021-06-17,346,40
2021-06-18,338,35
2021-06-19,305,51
2021-06-20,421,120
2021-06-21,356,38
2021-06-22,288,85
2021-06-23,300,25
2021-06-24,350,46
2021-06-25,380,37
2021-06-26,426,85
2021-06-27,519,186
